timestamp,event subtype,RSSI
1657226330.552540,40,-42
1657226330.553450,40,-40
1657226330.553450,40,-40
1657226330.556080,40,-44
1657226330.556090,40,-43
1657226330.556090,40,-43
1657226330.556100,40,-44
1657226330.559740,40,-43
1657226330.559750,40,-44
1657226330.559760,40,-44
1657226330.559760,40,-44
1657226330.559770,40,-44
1657226330.563960,40,-44
1657226330.563970,40,0
1657226330.563970,40,0
1657226330.563970,40,0
1657226330.563980,40,-42
1657226330.563990,40,-44
1657226330.563990,40,-41
1657226330.571560,40,-44
1657226330.576700,40,-44
1657226330.626290,40,-43
1657226330.626300,40,-43
1657226330.626310,40,0
1657226330.626310,40,-43
1657226330.651180,40,-41
1657226330.677260,40,-43
1657226330.702170,40,-40
1657226330.707090,40,-40
1657226330.733850,40,-43
1657226330.733850,40,0
1657226330.733860,40,-41
1657226330.733860,40,0
1657226330.753370,40,-40
1657226330.782050,40,-43
1657226330.810510,40,-43
1657226330.810510,40,0
1657226330.810510,40,0
1657226330.812060,40,-44
1657226330.853820,40,-44
1657226330.863100,40,-44
1657226330.863100,40,0
1657226330.928920,40,-43
1657226330.959290,40,-41
1657226330.973700,40,-41
1657226330.985570,40,-42
1657226331.064290,40,-43
1657226331.065870,40,-41
1657226331.065870,40,0
1657226331.065880,40,-42
1657226331.065880,40,0
1657226331.065890,40,0
1657226331.065890,40,-42
1657226331.065900,40,0
1657226331.065900,40,0
1657226331.065910,40,-40
1657226331.065910,40,0
1657226331.065910,40,0
1657226331.096450,40,-43
1657226331.096460,40,-42
1657226331.098900,40,-43
1657226331.098900,40,0
1657226331.098900,40,0
1657226331.098910,40,-43
1657226331.110050,40,-43
1657226331.110060,40,0
1657226331.110060,40,-41
1657226331.153880,40,-43
1657226331.228630,40,-44
1657226331.275550,44,-37
1657226331.567050,44,-37
1657226331.609660,44,-37
1657226331.622680,40,-44
1657226331.622680,40,0
1657226331.626290,44,-37
1657226331.644540,40,-44
1657226331.644540,40,0
1657226331.649060,40,-44
1657226331.669010,40,-41
1657226331.669020,40,-44
1657226331.669020,40,0
1657226331.669030,40,-44
1657226331.683380,40,-43
1657226331.685300,40,-43
1657226331.703530,40,-43
1657226331.739760,40,-37
1657226331.869320,44,-37
1657226332.063440,40,-33
1657226332.064950,44,-37
1657226332.075370,44,-37
1657226332.102290,40,-41
1657226332.114600,40,-44
1657226336.628650,40,-45
1657226336.630270,44,-37
1657226336.672670,44,-37
1657226336.794520,44,-37
1657226336.802770,40,-45
1657226336.802770,40,0
1657226336.802780,40,-43
1657226336.802780,40,0
1657226336.803870,40,-42
1657226336.803870,40,0
1657226336.803880,40,-42
1657226336.803880,40,0
1657226336.806800,40,-41
1657226336.940940,44,-37
1657226353.281860,40,-43
1657226353.283340,44,-35
1657226353.325950,44,-37
1657226353.594360,44,-35
1657226353.637010,44,-37
1657226359.437050,44,-37
1657226359.449550,40,-41
1657226359.480170,44,-35
1657226360.122510,40,-44
1657226360.126690,44,-37
1657226360.147240,40,-43
1657226360.272580,44,-37
1657226361.177530,44,-37
1657226361.186640,40,-44
1657226361.186640,40,0
1657226361.186650,40,-43
1657226361.186650,40,0
1657226361.186650,40,0
1657226361.186660,40,-42
1657226361.186660,40,0
1657226361.186660,40,0
1657226361.186670,40,-41
1657226361.186670,40,0
1657226361.187700,40,0
1657226361.205570,40,-43
1657226361.321260,44,-37
1657226373.767320,40,-41
1657226373.768650,44,-35
1657226373.810970,44,-37
1657226394.151520,40,-40
1657226394.152810,44,-35
1657226394.197040,44,-83
1657226394.199710,44,-37
1657226394.782430,44,-37
1657226394.825560,44,-37
1657226394.847040,40,-43
1657226394.850740,44,-37
1657226394.895200,44,-37
1657226399.803260,44,-39
1657226399.809790,40,-39
1657226399.848430,44,-39
1657226404.735410,40,-43
1657226404.736470,44,-39
1657226404.767560,40,-43
1657226404.779070,44,-39
1657226405.029340,40,-45
1657226405.037970,40,-45
1657226405.122700,40,-44
1657226405.122700,40,0
1657226405.122700,40,0
1657226405.122710,40,0
1657226405.159890,40,-44
1657226405.159890,40,-41
1657226405.177490,40,-45
1657226405.177500,40,0
1657226405.177500,40,-41
1657226405.369990,44,-41
1657226405.639960,44,-39
1657226405.682790,44,-39
1657226405.748270,44,-35
1657226405.790140,44,-33
1657226405.947320,44,-35
1657226406.392630,44,-33
1657226406.441160,44,-33
1657226406.573310,40,-38
1657226406.687950,44,-33
1657226406.971860,44,-41
1657226407.216990,44,-41
1657226407.486550,44,-33
1657226407.529620,44,-33
1657226407.539840,44,-41
1657226407.896420,44,-35
1657226408.039990,44,-33
1657226408.303720,44,-33
1657226408.346320,44,-33
1657226408.356770,44,-33
1657226408.401220,44,-33
1657226408.713670,44,-41
1657226408.857310,44,-41
1657226409.123440,44,-33
1657226409.166060,44,-33
1657226409.430710,44,-33
1657226409.575570,44,-33
1657226414.753190,44,-37
1657226414.796250,44,-39
1657226415.990710,44,-39
1657226416.136370,44,-39
1657226421.010900,44,-33
1657226421.016660,40,-33
1657226421.053630,44,-33
1657226435.240110,44,-37
1657226435.280860,44,-39
1657226455.610000,44,-39
1657226455.652580,44,-39
1657226455.715470,44,-33
1657226455.758050,44,-33
1657226456.345950,40,-33
1657226456.348800,44,-33
1657226456.391330,44,-33
1657226456.661830,44,-39
1657226456.704820,44,-39
1657226456.968530,44,-33
1657226457.215770,44,-33
1657226457.480930,44,-33
1657226457.626100,44,-33
1657226461.889330,44,-33
1657226461.895450,40,-33
1657226461.931540,44,-33
1657226473.663220,44,-37
1657226473.705860,44,-39
1657226473.974670,44,-33
1657226474.018320,44,-33
1657226494.149190,44,-39
1657226494.190700,44,-39
1657226514.640370,44,-33
1657226514.682520,44,-33
1657226535.130320,44,-39
1657226535.172870,44,-39
1657226555.619980,44,-39
1657226555.662210,44,-39
1657226555.662210,44,-39
1657226564.602280,44,-33
1657226564.644640,44,-33
1657226564.955680,44,-33
1657226564.958340,13,-35
1657226565.400830,44,-33
1657226567.822030,44,-33
1657226567.965450,44,-33
1657226568.542100,44,-41
1657226568.584690,44,-39
1657226569.770940,44,-33
1657226569.814850,44,-33
1657226570.076460,44,-39
1657226570.118650,44,-39
1657226570.385670,44,-33
1657226570.430320,44,-33
1657226570.690600,44,-41
1657226570.836100,44,-39
1657226571.410240,44,-41
1657226571.654830,44,-39
1657226571.920020,44,-39
1657226571.962560,44,-39
1657226572.227350,44,-33
1657226572.269820,44,-33
1657226572.842020,44,-39
1657226572.847410,40,-39
1657226572.886740,44,-41
1657226574.072120,44,-33
1657226574.114260,44,-33
1657226574.995520,44,-41
